t=0, n=0, m=0, rp=0 ---------> 49380
t=1, n=2, m=1, rp=0 ---------> 49380
t=0, n=3, m=1, rp=0 ---------> 49380
t=1, n=3, m=1, rp=0 ---------> 49380
t=0, n=4, m=1, rp=0 ---------> 49380
t=1, n=4, m=1, rp=0 ---------> 49380
t=0, n=5, m=1, rp=0 ---------> 49380
t=1, n=5, m=1, rp=0 ---------> 49380
t=0, n=6, m=1, rp=0 ---------> 49380
t=1, n=6, m=1, rp=0 ---------> 49380
t=0, n=7, m=1, rp=0 ---------> 49380
t=1, n=7, m=1, rp=0 ---------> 49380
t=0, n=8, m=1, rp=0 ---------> 49380
t=1, n=8, m=1, rp=0 ---------> 49380
t=0, n=9, m=1, rp=0 ---------> 49380
t=1, n=9, m=1, rp=0 ---------> 49380
t=0, n=10, m=1, rp=0 ---------> 49380
t=1, n=10, m=1, rp=0 ---------> 49380
t=0, n=11, m=1, rp=0 ---------> 49380
t=1, n=11, m=1, rp=0 ---------> 49380
t=0, n=12, m=1, rp=0 ---------> 49380
t=1, n=12, m=1, rp=0 ---------> 49380
t=0, n=13, m=1, rp=0 ---------> 49380
t=1, n=13, m=1, rp=0 ---------> 49380
t=0, n=14, m=1, rp=0 ---------> 49380
t=1, n=14, m=1, rp=0 ---------> 49380
t=0, n=15, m=1, rp=0 ---------> 49380
t=1, n=15, m=1, rp=0 ---------> 49380
t=0, n=16, m=1, rp=0 ---------> 49380
t=1, n=16, m=1, rp=0 ---------> 49380
t=0, n=17, m=1, rp=0 ---------> 49380
t=1, n=17, m=1, rp=0 ---------> 49380
t=0, n=18, m=1, rp=0 ---------> 49380
t=1, n=18, m=1, rp=0 ---------> 49380
t=0, n=19, m=1, rp=0 ---------> 49380
t=1, n=19, m=1, rp=0 ---------> 49380
t=0, n=20, m=1, rp=0 ---------> 49380
t=1, n=20, m=1, rp=0 ---------> 49380
t=0, n=21, m=1, rp=0 ---------> 49380
t=1, n=21, m=1, rp=0 ---------> 49380
t=0, n=22, m=1, rp=0 ---------> 49380
t=1, n=22, m=1, rp=0 ---------> 49380
t=0, n=23, m=1, rp=0 ---------> 49380
t=1, n=23, m=1, rp=0 ---------> 49380
t=0, n=24, m=1, rp=0 ---------> 49380
t=1, n=24, m=1, rp=0 ---------> 49380
t=0, n=25, m=1, rp=0 ---------> 49380
t=1, n=25, m=1, rp=0 ---------> 49380
t=0, n=26, m=1, rp=0 ---------> 49380
t=1, n=26, m=1, rp=0 ---------> 49380
t=0, n=27, m=1, rp=0 ---------> 49380
t=1, n=27, m=1, rp=0 ---------> 49380
t=0, n=28, m=1, rp=0 ---------> 49380
t=1, n=28, m=1, rp=0 ---------> 49380
t=0, n=29, m=1, rp=0 ---------> 49380
t=1, n=29, m=1, rp=0 ---------> 49380
t=0, n=30, m=1, rp=0 ---------> 49380
t=1, n=30, m=1, rp=0 ---------> 49380
t=0, n=31, m=1, rp=0 ---------> 49380
t=1, n=31, m=1, rp=0 ---------> 49380
t=0, n=32, m=1, rp=0 ---------> 49380
t=1, n=32, m=1, rp=0 ---------> 49380
t=0, n=33, m=1, rp=0 ---------> 49380
t=1, n=33, m=1, rp=0 ---------> 49380
t=0, n=34, m=1, rp=0 ---------> 49380
t=1, n=34, m=1, rp=0 ---------> 49380
t=0, n=35, m=1, rp=0 ---------> 49380
t=1, n=35, m=1, rp=0 ---------> 49380
t=0, n=36, m=1, rp=0 ---------> 49380
t=1, n=36, m=1, rp=0 ---------> 49380
t=0, n=37, m=1, rp=0 ---------> 49380
t=1, n=37, m=1, rp=0 ---------> 49380
t=0, n=38, m=1, rp=0 ---------> 49380
t=1, n=38, m=1, rp=0 ---------> 49380
t=0, n=39, m=1, rp=0 ---------> 49380
t=1, n=39, m=1, rp=0 ---------> 49380
t=0, n=40, m=1, rp=0 ---------> 49380
t=1, n=40, m=1, rp=0 ---------> 49380
t=0, n=41, m=1, rp=0 ---------> 49380
t=1, n=41, m=1, rp=0 ---------> 49380
t=0, n=42, m=1, rp=0 ---------> 49380
t=1, n=42, m=1, rp=0 ---------> 49380
t=0, n=43, m=1, rp=0 ---------> 49380
t=1, n=43, m=1, rp=0 ---------> 49380
t=0, n=44, m=1, rp=0 ---------> -1.78656e+10
t=1, n=44, m=1, rp=0 ---------> 7.42847e+09
t=0, n=45, m=1, rp=0 ---------> -6.80334e+09
t=1, n=45, m=1, rp=0 ---------> -1.05528e+09
t=0, n=0, m=2, rp=0 ---------> 49380
t=1, n=0, m=2, rp=0 ---------> 49380
t=0, n=1, m=2, rp=0 ---------> 49380
t=1, n=1, m=2, rp=0 ---------> 49380
t=0, n=2, m=2, rp=0 ---------> 49380
t=1, n=2, m=2, rp=0 ---------> 49380
t=0, n=3, m=2, rp=0 ---------> 49380
t=1, n=3, m=2, rp=0 ---------> 49380
t=0, n=4, m=2, rp=0 ---------> 49380
t=1, n=4, m=2, rp=0 ---------> 49380
t=0, n=5, m=2, rp=0 ---------> 49380
t=1, n=5, m=2, rp=0 ---------> 49380
t=0, n=6, m=2, rp=0 ---------> 49380
t=1, n=6, m=2, rp=0 ---------> 49380
t=0, n=7, m=2, rp=0 ---------> 49380
t=1, n=7, m=2, rp=0 ---------> 49380
t=0, n=8, m=2, rp=0 ---------> 49380
t=1, n=8, m=2, rp=0 ---------> 49380
t=0, n=9, m=2, rp=0 ---------> 49380
t=1, n=9, m=2, rp=0 ---------> 49380
t=0, n=10, m=2, rp=0 ---------> 49380
t=1, n=10, m=2, rp=0 ---------> 49380
t=0, n=11, m=2, rp=0 ---------> 49380
t=1, n=11, m=2, rp=0 ---------> 49380
t=0, n=12, m=2, rp=0 ---------> 49380
t=1, n=12, m=2, rp=0 ---------> 49380
t=0, n=13, m=2, rp=0 ---------> 49380
t=1, n=13, m=2, rp=0 ---------> 49380
t=0, n=14, m=2, rp=0 ---------> 49380
t=1, n=14, m=2, rp=0 ---------> 49380
t=0, n=15, m=2, rp=0 ---------> 49380
t=1, n=15, m=2, rp=0 ---------> 49380
t=0, n=16, m=2, rp=0 ---------> 49380
t=1, n=16, m=2, rp=0 ---------> 49380
t=0, n=17, m=2, rp=0 ---------> 49380
t=1, n=17, m=2, rp=0 ---------> 49380
t=0, n=18, m=2, rp=0 ---------> 49380
t=1, n=18, m=2, rp=0 ---------> 49380
t=0, n=19, m=2, rp=0 ---------> 49380
t=1, n=19, m=2, rp=0 ---------> 49380
t=0, n=20, m=2, rp=0 ---------> 49380
t=1, n=20, m=2, rp=0 ---------> 49380
t=0, n=21, m=2, rp=0 ---------> 49380
t=1, n=21, m=2, rp=0 ---------> 49380
t=0, n=22, m=2, rp=0 ---------> 49380
t=1, n=22, m=2, rp=0 ---------> 49380
t=0, n=23, m=2, rp=0 ---------> 49380
t=1, n=23, m=2, rp=0 ---------> 49380
t=0, n=24, m=2, rp=0 ---------> 49380
t=1, n=24, m=2, rp=0 ---------> 49380
t=0, n=25, m=2, rp=0 ---------> 49380
t=1, n=25, m=2, rp=0 ---------> 49380
t=0, n=26, m=2, rp=0 ---------> 49380
t=1, n=26, m=2, rp=0 ---------> 49380
t=0, n=27, m=2, rp=0 ---------> 49380
t=1, n=27, m=2, rp=0 ---------> 49380
t=0, n=28, m=2, rp=0 ---------> 49380
t=1, n=28, m=2, rp=0 ---------> 49380
t=0, n=29, m=2, rp=0 ---------> 49380
t=1, n=29, m=2, rp=0 ---------> 49380
t=0, n=30, m=2, rp=0 ---------> 49380
t=1, n=30, m=2, rp=0 ---------> 49380
t=0, n=31, m=2, rp=0 ---------> 49380
t=1, n=31, m=2, rp=0 ---------> 49380
t=0, n=32, m=2, rp=0 ---------> 49380
t=1, n=32, m=2, rp=0 ---------> 49380
t=0, n=33, m=2, rp=0 ---------> 49380
t=1, n=33, m=2, rp=0 ---------> 49380
t=0, n=34, m=2, rp=0 ---------> 49380
t=1, n=34, m=2, rp=0 ---------> 49380
t=0, n=35, m=2, rp=0 ---------> 49380
t=1, n=35, m=2, rp=0 ---------> 49380
t=0, n=36, m=2, rp=0 ---------> 49380
t=1, n=36, m=2, rp=0 ---------> 49380
t=0, n=37, m=2, rp=0 ---------> 49380
t=1, n=37, m=2, rp=0 ---------> 49380
t=0, n=38, m=2, rp=0 ---------> 49380
t=1, n=38, m=2, rp=0 ---------> 49380
t=0, n=39, m=2, rp=0 ---------> 49380
t=1, n=39, m=2, rp=0 ---------> 49380
t=0, n=40, m=2, rp=0 ---------> 49380
t=1, n=40, m=2, rp=0 ---------> 49380
t=0, n=41, m=2, rp=0 ---------> 49380
t=1, n=41, m=2, rp=0 ---------> 49380
t=0, n=42, m=2, rp=0 ---------> 49380
t=1, n=42, m=2, rp=0 ---------> 49380
t=0, n=43, m=2, rp=0 ---------> 49380
t=1, n=43, m=2, rp=0 ---------> 49380
t=0, n=44, m=2, rp=0 ---------> 3.14597e+10
t=1, n=44, m=2, rp=0 ---------> -1.24497e+09
t=0, n=45, m=2, rp=0 ---------> 2.89046e+10
t=1, n=45, m=2, rp=0 ---------> -4.01857e+09
t=0, n=0, m=3, rp=0 ---------> 49380
t=1, n=0, m=3, rp=0 ---------> 49380
t=0, n=1, m=3, rp=0 ---------> 49380
t=1, n=1, m=3, rp=0 ---------> 49380
t=0, n=2, m=3, rp=0 ---------> 49380
t=1, n=2, m=3, rp=0 ---------> 49380
t=0, n=3, m=3, rp=0 ---------> 49380
t=1, n=3, m=3, rp=0 ---------> 49380
t=0, n=4, m=3, rp=0 ---------> 49380
t=1, n=4, m=3, rp=0 ---------> 49380
t=0, n=5, m=3, rp=0 ---------> 49380
t=1, n=5, m=3, rp=0 ---------> 49380
t=0, n=6, m=3, rp=0 ---------> 49380
t=1, n=6, m=3, rp=0 ---------> 49380
t=0, n=7, m=3, rp=0 ---------> 49380
t=1, n=7, m=3, rp=0 ---------> 49380
t=0, n=8, m=3, rp=0 ---------> 49380
t=1, n=8, m=3, rp=0 ---------> 49380
t=0, n=9, m=3, rp=0 ---------> 49380
t=1, n=9, m=3, rp=0 ---------> 49380
t=0, n=10, m=3, rp=0 ---------> 49380
t=1, n=10, m=3, rp=0 ---------> 49380
t=0, n=11, m=3, rp=0 ---------> 49380
t=1, n=11, m=3, rp=0 ---------> 49380
t=0, n=12, m=3, rp=0 ---------> 49380
t=1, n=12, m=3, rp=0 ---------> 49380
t=0, n=13, m=3, rp=0 ---------> 49380
t=1, n=13, m=3, rp=0 ---------> 49380
t=0, n=14, m=3, rp=0 ---------> 49380
t=1, n=14, m=3, rp=0 ---------> 49380
t=0, n=15, m=3, rp=0 ---------> 49380
t=1, n=15, m=3, rp=0 ---------> 49380
t=0, n=16, m=3, rp=0 ---------> 49380
t=1, n=16, m=3, rp=0 ---------> 49380
t=0, n=17, m=3, rp=0 ---------> 49380
t=1, n=17, m=3, rp=0 ---------> 49380
t=0, n=18, m=3, rp=0 ---------> 49380
t=1, n=18, m=3, rp=0 ---------> 49380
t=0, n=19, m=3, rp=0 ---------> 49380
t=1, n=19, m=3, rp=0 ---------> 49380
t=0, n=20, m=3, rp=0 ---------> 49380
t=1, n=20, m=3, rp=0 ---------> 49380
t=0, n=21, m=3, rp=0 ---------> 49380
t=1, n=21, m=3, rp=0 ---------> 49380
t=0, n=22, m=3, rp=0 ---------> 49380
t=1, n=22, m=3, rp=0 ---------> 49380
t=0, n=23, m=3, rp=0 ---------> 49380
t=1, n=23, m=3, rp=0 ---------> 49380
t=0, n=24, m=3, rp=0 ---------> 49380
t=1, n=24, m=3, rp=0 ---------> 49380
t=0, n=25, m=3, rp=0 ---------> 49380
t=1, n=25, m=3, rp=0 ---------> 49380
t=0, n=26, m=3, rp=0 ---------> 49380
t=1, n=26, m=3, rp=0 ---------> 49380
t=0, n=27, m=3, rp=0 ---------> 49380
t=1, n=27, m=3, rp=0 ---------> 49380
t=0, n=28, m=3, rp=0 ---------> 49380
t=1, n=28, m=3, rp=0 ---------> 49380
t=0, n=29, m=3, rp=0 ---------> 49380
t=1, n=29, m=3, rp=0 ---------> 49380
t=0, n=30, m=3, rp=0 ---------> 49380
t=1, n=30, m=3, rp=0 ---------> 49380
t=0, n=31, m=3, rp=0 ---------> 49380
t=1, n=31, m=3, rp=0 ---------> 49380
t=0, n=32, m=3, rp=0 ---------> 49380
t=1, n=32, m=3, rp=0 ---------> 49380
t=0, n=33, m=3, rp=0 ---------> 49380
t=1, n=33, m=3, rp=0 ---------> 49380
t=0, n=34, m=3, rp=0 ---------> 49380
t=1, n=34, m=3, rp=0 ---------> 49380
t=0, n=35, m=3, rp=0 ---------> 49380
t=1, n=35, m=3, rp=0 ---------> 49380
t=0, n=36, m=3, rp=0 ---------> 49380
t=1, n=36, m=3, rp=0 ---------> 49380
t=0, n=37, m=3, rp=0 ---------> 49380
t=1, n=37, m=3, rp=0 ---------> 49380
t=0, n=38, m=3, rp=0 ---------> 49380
t=1, n=38, m=3, rp=0 ---------> 49380
t=0, n=39, m=3, rp=0 ---------> 49380
t=1, n=39, m=3, rp=0 ---------> 49380
t=0, n=40, m=3, rp=0 ---------> 49380
t=1, n=40, m=3, rp=0 ---------> 49380
t=0, n=41, m=3, rp=0 ---------> 49380
t=1, n=41, m=3, rp=0 ---------> 49380
t=0, n=42, m=3, rp=0 ---------> 49380
t=1, n=42, m=3, rp=0 ---------> 49380
t=0, n=43, m=3, rp=0 ---------> 49380
t=1, n=43, m=3, rp=0 ---------> 49380
t=0, n=44, m=3, rp=0 ---------> -3.27443e+10
t=1, n=44, m=3, rp=0 ---------> -8.7135e+09
t=0, n=45, m=3, rp=0 ---------> -3.45499e+10
t=1, n=45, m=3, rp=0 ---------> -3.46766e+10
t=0, n=0, m=4, rp=0 ---------> 49380
t=1, n=0, m=4, rp=0 ---------> 49380
t=0, n=1, m=4, rp=0 ---------> 49380
t=1, n=1, m=4, rp=0 ---------> 49380
t=0, n=2, m=4, rp=0 ---------> 49380
t=1, n=2, m=4, rp=0 ---------> 49380
t=0, n=3, m=4, rp=0 ---------> 49380
t=1, n=3, m=4, rp=0 ---------> 49380
t=0, n=4, m=4, rp=0 ---------> 49380
t=1, n=4, m=4, rp=0 ---------> 49380
t=0, n=5, m=4, rp=0 ---------> 49380
t=1, n=5, m=4, rp=0 ---------> 49380
t=0, n=6, m=4, rp=0 ---------> 49380
t=1, n=6, m=4, rp=0 ---------> 49380
t=0, n=7, m=4, rp=0 ---------> 49380
t=1, n=7, m=4, rp=0 ---------> 49380
t=0, n=8, m=4, rp=0 ---------> 49380
t=1, n=8, m=4, rp=0 ---------> 49380
t=0, n=9, m=4, rp=0 ---------> 49380
t=1, n=9, m=4, rp=0 ---------> 49380
t=0, n=10, m=4, rp=0 ---------> 49380
t=1, n=10, m=4, rp=0 ---------> 49380
t=0, n=11, m=4, rp=0 ---------> 49380
t=1, n=11, m=4, rp=0 ---------> 49380
t=0, n=12, m=4, rp=0 ---------> 49380
t=1, n=12, m=4, rp=0 ---------> 49380
t=0, n=13, m=4, rp=0 ---------> 49380
t=1, n=13, m=4, rp=0 ---------> 49380
t=0, n=14, m=4, rp=0 ---------> 49380
t=1, n=14, m=4, rp=0 ---------> 49380
t=0, n=15, m=4, rp=0 ---------> 49380
t=1, n=15, m=4, rp=0 ---------> 49380
t=0, n=16, m=4, rp=0 ---------> 49380
t=1, n=16, m=4, rp=0 ---------> 49380
t=0, n=17, m=4, rp=0 ---------> 49380
t=1, n=17, m=4, rp=0 ---------> 49380
t=0, n=18, m=4, rp=0 ---------> 49380
t=1, n=18, m=4, rp=0 ---------> 49380
t=0, n=19, m=4, rp=0 ---------> 49380
t=1, n=19, m=4, rp=0 ---------> 49380
t=0, n=20, m=4, rp=0 ---------> 49380
t=1, n=20, m=4, rp=0 ---------> 49380
t=0, n=21, m=4, rp=0 ---------> 49380
t=1, n=21, m=4, rp=0 ---------> 49380
t=0, n=22, m=4, rp=0 ---------> 49380
t=1, n=22, m=4, rp=0 ---------> 49380
t=0, n=23, m=4, rp=0 ---------> 49380
t=1, n=23, m=4, rp=0 ---------> 49380
t=0, n=24, m=4, rp=0 ---------> 49380
t=1, n=24, m=4, rp=0 ---------> 49380
t=0, n=25, m=4, rp=0 ---------> 49380
t=1, n=25, m=4, rp=0 ---------> 49380
t=0, n=26, m=4, rp=0 ---------> 49380
t=1, n=26, m=4, rp=0 ---------> 49380
t=0, n=27, m=4, rp=0 ---------> 49380
t=1, n=27, m=4, rp=0 ---------> 49380
t=0, n=28, m=4, rp=0 ---------> 49380
t=1, n=28, m=4, rp=0 ---------> 49380
t=0, n=29, m=4, rp=0 ---------> 49380
t=1, n=29, m=4, rp=0 ---------> 49380
t=0, n=30, m=4, rp=0 ---------> 49380
t=1, n=30, m=4, rp=0 ---------> 49380
t=0, n=31, m=4, rp=0 ---------> 49380
t=1, n=31, m=4, rp=0 ---------> 49380
t=0, n=32, m=4, rp=0 ---------> 49380
t=1, n=32, m=4, rp=0 ---------> 49380
t=0, n=33, m=4, rp=0 ---------> 49380
t=1, n=33, m=4, rp=0 ---------> 49380
t=0, n=34, m=4, rp=0 ---------> 49380
t=1, n=34, m=4, rp=0 ---------> 49380
t=0, n=35, m=4, rp=0 ---------> 49380
t=1, n=35, m=4, rp=0 ---------> 49380
t=0, n=36, m=4, rp=0 ---------> 49380
t=1, n=36, m=4, rp=0 ---------> 49380
t=0, n=37, m=4, rp=0 ---------> 49380
t=1, n=37, m=4, rp=0 ---------> 49380
t=0, n=38, m=4, rp=0 ---------> 49380
t=1, n=38, m=4, rp=0 ---------> 49380
t=0, n=39, m=4, rp=0 ---------> 49380
t=1, n=39, m=4, rp=0 ---------> 49380
t=0, n=40, m=4, rp=0 ---------> 49380
t=1, n=40, m=4, rp=0 ---------> 49380
t=0, n=41, m=4, rp=0 ---------> 49380
t=1, n=41, m=4, rp=0 ---------> 49380
t=0, n=42, m=4, rp=0 ---------> 49380
t=1, n=42, m=4, rp=0 ---------> 49380
t=0, n=43, m=4, rp=0 ---------> 49380
t=1, n=43, m=4, rp=0 ---------> 49380
t=0, n=44, m=4, rp=0 ---------> -4.83725e+10
t=1, n=44, m=4, rp=0 ---------> 2.53634e+10
t=0, n=45, m=4, rp=0 ---------> -2.81623e+10
t=1, n=45, m=4, rp=0 ---------> -6.97556e+10
t=0, n=0, m=5, rp=0 ---------> 49380
t=1, n=0, m=5, rp=0 ---------> 49380
t=0, n=1, m=5, rp=0 ---------> 49380
t=1, n=1, m=5, rp=0 ---------> 49380
t=0, n=2, m=5, rp=0 ---------> 49380
t=1, n=2, m=5, rp=0 ---------> 49380
t=0, n=3, m=5, rp=0 ---------> 49380
t=1, n=3, m=5, rp=0 ---------> 49380
t=0, n=4, m=5, rp=0 ---------> 49380
t=1, n=4, m=5, rp=0 ---------> 49380
t=0, n=5, m=5, rp=0 ---------> 49380
t=1, n=5, m=5, rp=0 ---------> 49380
t=0, n=6, m=5, rp=0 ---------> 49380
t=1, n=6, m=5, rp=0 ---------> 49380
t=0, n=7, m=5, rp=0 ---------> 49380
t=1, n=7, m=5, rp=0 ---------> 49380
t=0, n=8, m=5, rp=0 ---------> 49380
t=1, n=8, m=5, rp=0 ---------> 49380
t=0, n=9, m=5, rp=0 ---------> 49380
t=1, n=9, m=5, rp=0 ---------> 49380
t=0, n=10, m=5, rp=0 ---------> 49380
t=1, n=10, m=5, rp=0 ---------> 49380
t=0, n=11, m=5, rp=0 ---------> 49380
t=1, n=11, m=5, rp=0 ---------> 49380
t=0, n=12, m=5, rp=0 ---------> 49380
t=1, n=12, m=5, rp=0 ---------> 49380
t=0, n=13, m=5, rp=0 ---------> 49380
t=1, n=13, m=5, rp=0 ---------> 49380
t=0, n=14, m=5, rp=0 ---------> 49380
t=1, n=14, m=5, rp=0 ---------> 49380
t=0, n=15, m=5, rp=0 ---------> 49380
t=1, n=15, m=5, rp=0 ---------> 49380
t=0, n=16, m=5, rp=0 ---------> 49380
t=1, n=16, m=5, rp=0 ---------> 49380
t=0, n=17, m=5, rp=0 ---------> 49380
t=1, n=17, m=5, rp=0 ---------> 49380
t=0, n=18, m=5, rp=0 ---------> 49380
t=1, n=18, m=5, rp=0 ---------> 49380
t=0, n=19, m=5, rp=0 ---------> 49380
t=1, n=19, m=5, rp=0 ---------> 49380
t=0, n=20, m=5, rp=0 ---------> 49380
t=1, n=20, m=5, rp=0 ---------> 49380
t=0, n=21, m=5, rp=0 ---------> 49380
t=1, n=21, m=5, rp=0 ---------> 49380
t=0, n=22, m=5, rp=0 ---------> 49380
t=1, n=22, m=5, rp=0 ---------> 49380
t=0, n=23, m=5, rp=0 ---------> 49380
t=1, n=23, m=5, rp=0 ---------> 49380
t=0, n=24, m=5, rp=0 ---------> 49380
t=1, n=24, m=5, rp=0 ---------> 49380
t=0, n=25, m=5, rp=0 ---------> 49380
t=1, n=25, m=5, rp=0 ---------> 49380
t=0, n=26, m=5, rp=0 ---------> 49380
t=1, n=26, m=5, rp=0 ---------> 49380
t=0, n=27, m=5, rp=0 ---------> 49380
t=1, n=27, m=5, rp=0 ---------> 49380
t=0, n=28, m=5, rp=0 ---------> 49380
t=1, n=28, m=5, rp=0 ---------> 49380
t=0, n=29, m=5, rp=0 ---------> 49380
t=1, n=29, m=5, rp=0 ---------> 49380
t=0, n=30, m=5, rp=0 ---------> 49380
t=1, n=30, m=5, rp=0 ---------> 49380
t=0, n=31, m=5, rp=0 ---------> 49380
t=1, n=31, m=5, rp=0 ---------> 49380
t=0, n=32, m=5, rp=0 ---------> 49380
t=1, n=32, m=5, rp=0 ---------> 49380
t=0, n=33, m=5, rp=0 ---------> 49380
t=1, n=33, m=5, rp=0 ---------> 49380
t=0, n=34, m=5, rp=0 ---------> 49380
t=1, n=34, m=5, rp=0 ---------> 49380
t=0, n=35, m=5, rp=0 ---------> 49380
t=1, n=35, m=5, rp=0 ---------> 49380
t=0, n=36, m=5, rp=0 ---------> 49380
t=1, n=36, m=5, rp=0 ---------> 49380
t=0, n=37, m=5, rp=0 ---------> 49380
t=1, n=37, m=5, rp=0 ---------> 49380
t=0, n=38, m=5, rp=0 ---------> 49380
t=1, n=38, m=5, rp=0 ---------> 49380
t=0, n=39, m=5, rp=0 ---------> 49380
t=1, n=39, m=5, rp=0 ---------> 49380
t=0, n=40, m=5, rp=0 ---------> 49380
t=1, n=40, m=5, rp=0 ---------> 49380
t=0, n=41, m=5, rp=0 ---------> 49380
t=1, n=41, m=5, rp=0 ---------> 49380
t=0, n=42, m=5, rp=0 ---------> 49380
t=1, n=42, m=5, rp=0 ---------> 49380
t=0, n=43, m=5, rp=0 ---------> 49380
t=1, n=43, m=5, rp=0 ---------> 49380
t=0, n=44, m=5, rp=0 ---------> 5.14169e+09
t=1, n=44, m=5, rp=0 ---------> -3.12298e+10
t=0, n=45, m=5, rp=0 ---------> -2.77532e+08
t=1, n=45, m=5, rp=0 ---------> -2.45471e+10
t=0, n=0, m=6, rp=0 ---------> 49380
t=1, n=0, m=6, rp=0 ---------> 49380
